"filename", "language", "TypeScript", "SCSS", "Markdown", "JSON with Comments", "JavaScript", "comment", "blank", "total"
"/home/tito/.config/ags/windows/panel/items/home/home.scss", "SCSS", 0, 37, 0, 0, 0, 1, 5, 43
"/home/tito/.config/ags/windows/panel/items/home/home.ts", "TypeScript", 42, 0, 0, 0, 0, 3, 3, 48
"/home/tito/.config/ags/windows/panel/items/items.scss", "SCSS", 0, 4, 0, 0, 0, 0, 0, 4
"/home/tito/.config/ags/windows/panel/items/items.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 2, 10
"/home/tito/.config/ags/windows/panel/items/notifications/notifications.scss", "SCSS", 0, 64, 0, 0, 0, 0, 16, 80
"/home/tito/.config/ags/windows/panel/items/notifications/notifications.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 8, 85
"/home/tito/.config/ags/windows/panel/items/settings/sections/account/account.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 1, 10
"/home/tito/.config/ags/windows/panel/items/settings/sections/customization/background/background.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"/home/tito/.config/ags/windows/panel/items/settings/sections/customization/background/background.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 2, 17
"/home/tito/.config/ags/windows/panel/items/settings/sections/customization/customization.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 1, 16
"/home/tito/.config/ags/windows/panel/items/settings/sections/customization/theme/theme.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 1, 11
"/home/tito/.config/ags/windows/panel/items/settings/sections/hour_lang/hour_lang.scss", "SCSS", 0, 0, 0, 0, 0, 3, 0, 3
"/home/tito/.config/ags/windows/panel/items/settings/sections/hour_lang/hour_lang.ts", "TypeScript", 19, 0, 0, 0, 0, 2, 5, 26
"/home/tito/.config/ags/windows/panel/items/settings/sections/input/input.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 1, 7
"/home/tito/.config/ags/windows/panel/items/settings/sections/screen/screen.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 1, 7
"/home/tito/.config/ags/windows/panel/items/settings/settings.scss", "SCSS", 0, 45, 0, 0, 0, 3, 4, 52
"/home/tito/.config/ags/windows/panel/items/settings/settings.ts", "TypeScript", 76, 0, 0, 0, 0, 0, 5, 81
"/home/tito/.config/ags/windows/panel/panel.scss", "SCSS", 0, 42, 0, 0, 0, 0, 9, 51
"/home/tito/.config/ags/windows/panel/panel.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 5, 70
"/home/tito/.config/ags/windows/powermenu/powermenu.scss", "SCSS", 0, 40, 0, 0, 0, 0, 12, 52
"/home/tito/.config/ags/windows/powermenu/powermenu.ts", "TypeScript", 130, 0, 0, 0, 0, 0, 8, 138
"/home/tito/.config/ags/windows/quickmenus/clock/clock.ts", "TypeScript", 38, 0, 0, 0, 0, 3, 4, 45
"/home/tito/.config/ags/windows/quickmenus/power_supply/power_supply.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 1, 7
"/home/tito/.config/ags/windows/quickmenus/quickmenu.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 4, 28
"/home/tito/.config/ags/windows/quickmenus/quickmenus.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 2, 6
"/home/tito/.config/ags/windows/window.ts", "TypeScript", 87, 0, 0, 0, 0, 0, 16, 103
"/home/tito/.config/ags/windows/windows.scss", "SCSS", 0, 5, 0, 0, 0, 0, 0, 5
"Total", "-", 1804, 623, 10, 18, 19, 71, 373, 2918
